Subject,Age,Batch,Timepoint,IDP1,IDP2,IDP3,IDP4,IQM_01,IQM_02,IQM_03,IQM_04,IQM_05,IQM_06
S007,23,B2,2,157042.32380823,128560.658066474,143187.3982186,108395.959610984,80.0833634085838,78.6731596357035,80.2772659032591,76.7024075180558,77.8292108080424,78.485717463581
S008,72,B1,1,174111.831152288,136197.128879483,147356.83092896,112984.94714267,24.4508912451166,24.7819200568587,25.2923929708106,25.505374521406,25.8880695850829,24.5928233434485
S008,72,B1,2,172132.447901479,134184.44939002,146108.98116788,113017.306797605,24.8683262645413,25.2614473214031,25.8499252811557,24.4015620714931,24.9753516593758,24.9484525619767
S009,56,B1,1,156956.090594659,125964.297333835,138306.339112772,105408.854017841,25.7851723532079,24.9674292351684,25.6135810063277,25.5092959677425,26.1886959031056,26.3000705527456
S009,56,B1,2,153104.40634582,123646.856069414,136553.767990067,103921.083470957,25.0975967504301,23.722477657543,22.736873588684,25.3545566048094,22.8912405805176,24.8939876293332
S010,63,B3,1,144029.42831504,111657.656673899,126133.962495745,96076.9089037891,0.705007733022318,3.51605320224767,2.12167558972868,3.04086984493449,2.18040806220378,0.973519219916767
S010,63,B2,2,181727.408121657,142707.996699769,166499.3057647,124435.795612381,78.8425921484619,79.1941734452617,78.8826651628,75.899629337493,78.2497378567546,79.5821009797477
S011,21,B3,1,110318.212057388,89678.1152830415,95784.8385500909,77185.6966435308,3.48902872195188,2.77992591616166,2.02487008829625,4.93160859880495,2.93965506968779,3.7079121687211
S011,21,B2,2,147878.212330332,123069.492575441,136170.411418378,103915.180872558,81.3191357948282,79.0686429354792,80.5828503703232,77.0665803074368,78.7137469556064,79.3608025726827
S012,79,B3,1,155295.201601338,121618.791595789,132613.646879382,107657.365171039,2.12819937800326,3.06520538620206,2.20982307485439,3.63242592528804,3.11159095090593,2.87623694490414
S012,79,B3,2,154980.907467615,120867.43233629,127156.510713301,105075.821284078,0.1,2.81376263880019,1.92020962806541,5.08382873383549,2.96271412180079,0.61103789230817
S013,70,B1,1,168821.613139506,134162.219041027,145587.380721088,113533.390407166,24.5153188369351,26.6673172451026,25.7190644336826,24.2741923396922,24.6484416868337,26.7189132988614
S013,70,B1,2,164885.640769902,133762.250574376,145884.939667645,112526.31843604,25.2971346474685,24.4214272197193,23.7819576504488,25.4289178548618,25.0027399956735,24.6630622237377
S014,32,B1,1,139343.619820289,113205.508948758,118716.324698008,94292.6897561317,23.6332421725837,25.4760248768226,25.7335269687107,25.1388066128229,26.006460314677,24.6937607678195
S014,32,B2,2,161298.838912374,129562.138301634,143432.400785416,108187.936496199,81.1172895993273,77.7986140879971,79.8450171326012,77.2341746874969,79.9676394736773,78.3420121802392
S015,31,B3,1,127017.408912588,100081.03990601,109684.644842041,82440.5631599856,1.88213358376732,2.6939095620363,3.11490222498298,1.99093463426435,2.17939223915984,2.61728412947249
S015,31,B3,2,124870.677921665,98443.3134288174,107084.692107733,80567.8433136114,1.56811636009387,2.40050360877894,2.13216894407088,3.10683961064271,4.16593073832209,3.45145653567479
S016,31,B2,1,162342.411997237,130848.624051967,149181.121370084,111292.5793499,81.2119861796288,79.6290756815815,80.016811732907,77.5310526083611,77.7481100439328,80.6869232201391
S016,31,B3,2,119305.148482428,94228.6428804129,104849.635003193,80685.0754704769,4.28655492732544,2.99928997517151,1.77195040631002,5.71224460748386,4.26688866030915,2.71219022385932
S017,38,B1,1,144495.550445768,110295.850608843,130272.08313282,101042.321648704,25.0951613288821,25.8003811794235,26.4025643887865,25.7032869963585,24.5193108776308,24.8697724777017
S017,38,B1,2,143133.943100841,108935.104808996,125737.789596829,99217.5152700659,24.8035670739938,24.4728008723671,24.4348275475203,25.2004892749648,24.8030277820376,25.696828235719
S018,52,B2,1,179504.407105537,145150.409559713,165804.37422618,123705.995765223,79.7018852216008,78.255072410088,81.0207662905823,77.9633207550134,79.1760176705679,78.5727155472673
S018,52,B2,2,173215.911038627,141933.306279193,161693.215339873,121440.034551191,79.4478850986244,79.6537965454967,78.7463435979964,76.8881486190682,78.7832661422816,78.5629178169197
S019,46,B1,1,149866.577797994,124747.750448753,135946.628787866,100526.502609156,25.6861003390645,26.9835556095872,25.6792290653789,25.2414235825112,25.937367753144,25.1388289351957
S019,46,B3,2,128635.141082567,104098.204741924,112581.063984638,83838.9352169281,0.956681108368918,0.878285145989493,0.76756505505554,4.85364416225949,2.52676758047761,2.30731552291521
S020,37,B3,1,127471.762035002,99551.6754612904,105380.536789726,83797.8165783014,0.1,1.11736069619277,1.28606082781486,2.36197010804678,2.62479320758628,1.73374843549824
S020,37,B3,2,126916.210489791,99516.8258704493,104673.342260475,82003.3233061211,1.96984675896264,3.34865714639449,2.11830496061488,4.50585958818537,1.46479089749017,1.36602407376681
S021,57,B1,1,159456.028489634,127328.630551858,145572.961085785,106881.663116126,24.3332445192065,24.6506887438277,25.6319572918121,26.4439492297353,25.0278789996662,25.013581009509
S021,57,B1,2,156008.009703486,125328.279297592,142698.704114793,104004.226904882,24.1096628087671,23.1136669824697,23.6761953691154,24.160036639308,23.9961964782634,23.7061723695354
S022,28,B2,1,166144.563635927,129333.375173116,145213.342784989,106823.749803648,80.4005288914111,79.6179106457269,79.5852262085388,76.5335119366044,77.7025405379357,78.808823489936
S022,28,B3,2,123405.360686579,93198.284105955,102445.253374881,75755.201411357,1.31920534623239,1.79739595104601,1.05593020408053,3.22063920597106,1.89701511409586,1.76055588274871
S023,37,B1,1,149233.189497804,115006.996388553,129231.474759189,95283.5732366302,28.2514168405794,26.8121803821716,25.0222818778061,26.4555127813102,24.2896243629731,23.822927626912
S023,37,B1,2,147343.806460734,114136.208858529,127812.313862641,93736.4537286949,25.7172843374677,23.7560032476213,24.7212343161119,25.0827928435085,25.2493116406226,24.6034270194109
S024,42,B2,1,169513.822741766,136999.776373008,156099.44266292,118142.357104704,80.2611894327113,78.0092233439503,79.3831227273536,76.3735620554658,77.0026643902357,80.1447574691211
S024,42,B2,2,167571.108062183,134286.787059468,155334.460151904,116652.970691635,79.6699153439199,78.276259305461,79.169482270319,78.6071954159352,78.8656145826888,79.9963297092351
